ALL SCPP DATA FOR 1986 (fall) AND 1987 (January)

Beginning 861218 @ 10:25, the higher magnification on the sterio microscope was used to
image the ice particles (i.e. this data set).  Prior to that date, lower magnification 
was used and the data quality is inferior.  See Mitchell et al. (1990, JAM).

Note: Confidence rating refers to snow type. From most to least confident => 1, 2, 3. 
"0" means not applicable.

Temperature of origin refers to the midpoint temperature of the habit regime the ice particle
corresponds to.  Temperature uncertainty indicates the extent of the habit regime (i.e. the
midpoint minus temp. uncertainty to the mean plus temp. uncertainty).

For ice particle shape classification, R- indicates ice particle is rimed; -A means the ice
particle is an aggregate with possibly other less dominant habits present; -F means the ice
particle is an ice crystal fragment; -FA means the ice particle is an aggregate consisting
largely of crystal fragments.  For habit classifications, see Magono and Lee scheme in 
Pruppacher and Klett.

X and Y refer to coordinates on a grid superimposed on a projector screen and were used 
to locate the particle image on a slide.


Date   Time    X     Y      Image  Image  Actual Actual  Mass    Temp.   Temp. Snow  Confidence
                            ice    drop   ice    drop            of    uncert. type  rating
                            length length length length          origin
                            (cm)   (cm)   (mm)   (mm)    (mg)   (deg. C)  (C)

861218 1140  95.00  16.00   3.40   2.70    .32    .25  .430E-02  -15.00   5.00 R3B      2 
861218 1140  97.00  19.00   2.20   1.70    .21    .16  .107E-02  -30.00  10.00 C1E      1 
861218 1140  50.00  27.00   7.70   3.40    .73    .32  .859E-02   -7.00   1.00 R-N2C    2 
861218 1140  55.00  34.00   9.50   5.30    .89    .50  .325E-01   -7.00   1.00 R-N2C    2 
861218 1140  64.00  25.00   3.00   2.40    .28    .23  .302E-02  -15.00   5.00 R3B-F    2 
861218 1140  67.00  25.00   2.60   2.00    .24    .19  .175E-02  999.00 999.00 I4       0 
861218 1140  78.00  43.00   1.90   1.50    .18    .14  .738E-03   -7.00   1.00 N1E      3 
861218 1140  80.00  42.00   2.30   2.20    .22    .21  .233E-02  -30.00  10.00 R-C1E    3 
861218 1140  82.00  40.00   3.40   2.50    .32    .24  .341E-02  -15.00   5.00 R3B-F    3 
861218 1140  83.00  27.00   2.10   2.00    .20    .19  .175E-02  999.00 999.00 I4       0 
861218 1140  86.00  32.00   3.70   2.70    .35    .25  .430E-02   -7.00   1.00 R-N1E    1 
861218 1140  94.00  39.00   5.40   3.20    .51    .30  .716E-02  -15.00   5.00 R3B-F    2 
861218 1140  95.00  30.00   9.20   4.50    .87    .42  .199E-01   -7.00   1.00 R-N2C    2 
861218 1140  25.00  40.00 104.00  21.20   9.79   2.00  .208E+01  -15.00   1.50 P1E-A    1 
861218 1140   3.00  60.00  17.30   8.80   1.63    .83  .149E+00  -15.00   5.00 R3B-F    1 
861218 1140  61.00  48.00   2.90   2.60    .27    .24  .384E-02  -15.00   5.00 R3B-F    2 
861218 1140  78.00  62.00   2.10   2.10    .20    .20  .202E-02  -15.00   5.00 R3B      2 
861218 1140  87.00  54.00   5.10   3.10    .48    .29  .651E-02  -15.00   5.00 R-P7A    2 
861218 1140  91.00  61.00   7.00   4.10    .66    .39  .151E-01  -15.00   3.50 P1A      1 
861218 1150  49.00  12.00   3.10   2.00    .29    .19  .175E-02  -15.00   5.00 R3B-F    3 
